r_no	u_no	s_no	income	expense
18552	165	10246	1159	0
18553	217	5234	10821	0
18554	163	3176	13333	0
18555	54	4918	869	0
18556	197	4883	5024	0
18557	96	14106	9565	0
18558	124	9733	4637	0
18559	149	2934	15072	0
18560	203	5344	1739	0
18561	5	14422	6280	0
18562	133	4225	16811	0
18563	54	11148	4444	0
18564	146	5040	6956	0
18565	109	5655	15942	0
18566	173	3718	29758	0
18567	109	15366	12560	0
18568	112	2750	3478	0
18569	162	11668	3091	0
18570	210	101	483	0
18571	187	14664	7536	0
18572	118	5817	579	0
18573	153	15028	5024	0
18574	66	6057	12173	0
18575	41	12822	8792	0
18576	202	8830	5410	0
18577	217	2183	23188	0
18578	35	6390	16231	0
18579	138	11606	24347	0
18580	55	13851	193	0
18581	77	9834	0	2898
18582	194	6619	10144	0
18583	181	4673	28985	0
18584	155	7413	9275	0
18585	215	4770	2125	0
18586	191	5211	0	19130
18587	177	9409	26376	0
18588	140	10632	13526	0
18589	62	4563	1932	0
18590	21	5210	31884	0
18591	158	4172	6570	0
18592	83	12327	7729	0
18593	173	11819	30821	0
18594	65	14976	22608	0
18595	122	3989	13816	0
18596	34	1118	17391	0
18597	80	7074	14492	0
18598	208	4169	1062	0
18599	90	5670	1739	0
18600	143	6388	37874	0
18601	208	7121	16231	0
18602	104	3666	18550	0
18603	27	5876	3864	0
18604	1	3959	8115	0
18605	14	1077	18260	0
18606	102	9010	869	0
18607	183	1227	0	2898
18608	62	10344	18840	0
18609	194	6356	1449	0
18610	130	12622	22608	0
18611	66	9185	3864	0
18612	204	13533	14492	0
18613	12	14539	37681	0
18614	36	4835	13526	0
18615	114	5985	1256	0
18616	128	2467	7439	0
18617	199	14246	0	35169
18618	195	5669	2318	0
18619	73	11263	3478	0
18620	162	13453	0	5507
18621	49	5615	4251	0
18622	15	2123	0	23188
18623	184	10834	20289	0
18624	30	7012	5603	0
18625	92	10534	17391	0
18626	41	1748	17777	0
18627	215	9490	22995	0
18628	204	10516	4057	0
18629	30	14730	4830	0
18630	101	7409	42028	0
18631	93	12703	7536	0
18632	159	5226	13043	0
18633	138	10754	27632	0
18634	103	3237	11304	0
18635	137	11245	3478	0
18636	107	5088	0	5797
18637	2	8782	5217	0
18638	33	7164	1352	0
18639	178	12546	0	36521
18640	14	1599	24154	0
18641	158	6478	28985	0
18642	39	6341	1256	0
18643	116	6077	579	0
18644	130	14459	8695	0
18645	21	4706	8115	0
18646	24	6985	3864	0
18647	65	8130	10434	0
18648	34	6103	1932	0
18649	53	14273	1256	0
18650	75	11800	22608	0
18651	127	6648	12173	0
18652	202	2026	11304	0
18653	209	11221	15652	0
18654	144	4417	2125	0
18655	192	10293	8115	0
18656	199	9625	37874	0
18657	143	1112	1352	0
18658	77	4107	3478	0
18659	163	10463	32657	0
18660	149	13196	21642	0
18661	113	3140	0	10048
18662	203	10765	13913	0
18663	175	3501	5314	0
18664	105	15525	28985	0
18665	215	9990	6376	0
18666	142	15072	1159	0
18667	60	14217	24347	0
18668	148	1757	0	0
18669	7	462	12753	0
18670	4	11509	13913	0
18671	136	13677	5797	0
18672	41	5065	19130	0
18673	23	5372	9275	0
18674	138	7844	0	11594
18675	84	7508	11111	0
18676	142	10385	0	8115
18677	147	11074	0	0
18678	23	6351	2028	0
18679	82	5335	15072	0
18680	46	10529	10628	0
18681	166	8582	9178	0
18682	4	8207	0	20289
18683	124	12267	26086	0
18684	50	4908	0	6956
18685	124	7297	28405	0
18686	123	2960	12560	0
18687	119	8	13043	0
18688	205	10448	5217	0
18689	190	11197	34782	0
18690	8	84	0	0
18691	20	3548	10628	0
18692	103	5411	966	0
18693	190	2029	1449	0
18694	143	987	15555	0
18695	14	7637	4637	0
18696	70	9187	4927	0
18697	133	12298	4637	0
18698	39	7522	31884	0
18699	29	8337	14879	0
18700	123	6211	6956	0
18701	21	3	4927	0
18702	28	4287	11304	0
18703	158	13686	2222	0
18704	111	7523	193	0
18705	101	11562	7729	0
18706	155	11215	4637	0
18707	142	14357	10048	0
18708	6	7025	17391	0
18709	71	2181	33333	0
18710	72	9239	14879	0
18711	188	1816	0	3768
18712	64	814	13043	0
18713	77	3963	1159	0
18714	97	8111	2318	0
18715	39	9375	10144	0
18716	204	8838	4830	0
18717	103	10778	34782	0
18718	167	13271	21642	0
18719	188	2862	193	0
18720	120	4258	3478	0
18721	121	9350	36425	0
18722	26	11321	8792	0
18723	139	14332	1545	0
18724	197	4336	13816	0
18725	52	13206	17391	0
18726	85	13295	0	7826
18727	194	2775	11594	0
18728	116	13478	14879	0
18729	136	3504	11594	0
18730	41	9975	11304	0
18731	165	598	11690	0
18732	217	12400	7246	0
18733	171	10261	36521	0
18734	46	13302	10048	0
18735	182	3378	1739	0
18736	10	12378	4637	0
18737	128	2357	3864	0
18738	16	14513	0	386
18739	33	10441	6280	0
18740	147	1393	0	1352
18741	87	7362	16908	0
18742	14	5862	1932	0
18743	159	3979	19130	0
18744	138	2075	16425	0
18745	18	8324	386	0
18746	84	15460	40579	0
18747	135	11437	0	17584
18748	1	6554	2608	0
18749	141	10488	10628	0
18750	177	13923	20869	0
18751	112	13508	1739	0
18752	63	13872	19613	0
18753	8	8837	26086	0
18754	41	5197	6956	0
18755	141	2742	11304	0
18756	201	9667	14009	0
18757	204	8238	966	0
18758	198	8890	193	0
18759	43	12521	28019	0
18760	206	5206	5410	0
18761	62	13558	3188	0
18762	198	14303	9565	0
18763	189	1287	10821	0
18764	94	12179	772	0
18765	16	2132	8115	0
18766	37	4991	966	0
18767	67	11058	2898	0
18768	72	13146	3478	0
18769	63	7292	26570	0
18770	122	13017	16328	0
18771	181	5618	2318	0
18772	108	14423	0	16811
18773	204	15394	8502	0
18774	140	15494	6956	0
18775	58	11224	24347	0
18776	66	3426	2028	0
18777	118	5543	8405	0
18778	210	8291	193	0
18779	122	1899	13526	0
18780	17	14474	6376	0
18781	200	2271	18937	0
18782	112	15245	36425	0
18783	192	15305	8695	0
18784	119	5576	18550	0
18785	118	2216	0	11594
18786	135	13814	18550	0
18787	141	9904	0	3285
18788	99	7857	3478	0
18789	22	13381	24347	0
18790	36	1853	483	0
18791	70	1309	31884	0
18792	123	14907	26086	0
18793	63	5321	11594	0
18794	22	14022	1449	0
18795	184	5559	2028	0
18796	158	8352	26086	0
18797	7	5493	5410	0
18798	82	6451	18260	0
18799	81	3665	5024	0
18800	17	13716	9275	0
18801	15	8728	7536	0
18802	37	7003	13913	0
18803	111	2727	30434	0
18804	55	430	18550	0
18805	115	9247	32463	0
18806	66	11028	29758	0
18807	40	14595	1739	0
18808	10	5637	0	16231
18809	139	3489	9275	0
18810	123	11919	6956	0
18811	15	11191	19130	0
18812	61	7729	2898	0
18813	145	5863	1062	0
18814	98	5982	0	4057
18815	11	7538	1159	0
18816	91	5974	16231	0
18817	121	1238	7729	0
18818	64	11387	289	0
18819	154	11565	16231	0
18820	28	13833	5410	0
18821	34	2186	8115	0
18822	118	14914	25700	0
18823	11	5998	1642	0
18824	33	1521	289	0
18825	196	10493	1449	0
18826	6	6894	14202	0
18827	147	12238	11014	0
18828	169	3578	1739	0
18829	181	8543	7826	0
18830	189	4714	5797	0
18831	122	835	11111	0
18832	38	4688	13043	0
18833	115	10127	0	772
18834	185	6706	3188	0
18835	194	11080	19130	0
18836	170	2363	5217	0
18837	39	14473	14685	0
18838	144	15562	0	10821
18839	43	12120	14492	0
18840	8	2255	7536	0
18841	26	13953	10048	0
18842	144	1743	966	0
18843	113	5489	14879	0
18844	71	9443	6376	0
18845	172	6654	9468	0
18846	55	8890	8695	0
18847	90	10774	4057	0
18848	13	9926	0	11594
18849	35	2462	4830	0
18850	176	540	11594	0
18851	99	7537	12173	0
18852	203	3213	1449	0
18853	199	9539	9468	0
18854	187	8936	26086	0
18855	154	7839	18067	0
18856	109	5449	2608	0
18857	100	14729	4057	0
18858	79	4257	20869	0
18859	102	13980	6956	0
18860	84	1056	43478	0
18861	79	11053	5217	0
18862	79	13091	6086	0
18863	105	12199	11594	0
18864	37	5684	31400	0
18865	106	6356	96	0
18866	40	1711	8115	0
18867	111	11602	22222	0
18868	51	880	4057	0
18869	95	9703	9275	0
18870	215	2309	772	0
18871	44	5405	22222	0
18872	165	8293	5410	0
18873	141	12675	8212	0
18874	69	2953	1739	0
18875	151	10022	13913	0
18876	165	6627	4347	0
18877	9	9324	13333	0
18878	170	9495	30144	0
18879	170	3255	30144	0
18880	209	13992	1159	0
18881	93	8930	8695	0
18882	142	6425	24154	0
18883	164	3229	4637	0
18884	34	1015	1159	0
18885	90	5644	32463	0
18886	195	9905	1352	0
18887	54	11679	13140	0
18888	75	1205	14685	0
18889	73	8235	33816	0
18890	123	7127	3381	0
18891	205	8088	1545	0
18892	200	5256	8695	0
18893	68	10344	0	22415
18894	211	8038	39227	0
18895	61	5717	15652	0
18896	167	9489	17391	0
18897	54	1478	4057	0
18898	1	5614	0	4347
18899	22	14718	12753	0
18900	70	2169	10144	0
18901	196	7636	7729	0
18902	102	11037	10048	0
18903	21	4596	1159	0
18904	206	6177	20096	0
18905	33	13488	7536	0
18906	164	8547	2898	0
18907	110	9246	16231	0
18908	116	14291	3478	0
18909	137	1084	29758	0
18910	205	15228	5507	0
18911	33	12320	4251	0
18912	91	12925	37681	0
18913	27	3038	5024	0
18914	175	217	8115	0
18915	179	2114	17391	0
18916	74	8966	3864	0
18917	25	4228	2028	0
18918	180	7891	7729	0
18919	45	2646	0	1449
18920	10	2355	2318	0
18921	145	13230	2705	0
18922	183	3722	11111	0
18923	110	6883	0	3478
18924	11	4424	28405	0
18925	201	5318	1642	0
18926	161	793	10628	0
18927	76	4691	14492	0
18928	131	14483	1739	0
18929	150	15052	0	15072
18930	141	10648	13043	0
18931	97	14313	43478	0
18932	185	11489	0	4444
18933	31	7970	0	0
18934	59	8704	6570	0
18935	38	9299	8695	0
18936	115	10902	25700	0
18937	168	7065	22608	0
18938	23	6816	14879	0
18939	110	2987	10434	0
18940	4	11676	966	0
18941	108	4428	1352	0
18942	92	13688	25507	0
18943	188	2695	17391	0
18944	5	1741	5024	0
18945	133	13674	193	0
18946	145	5541	0	869
18947	116	15239	2608	0
18948	39	10298	11304	0
18949	207	2132	11304	0
18950	79	4666	16425	0
18951	154	13579	0	13526
18952	64	11929	11594	0
18953	143	13671	8405	0
18954	84	13695	4637	0
18955	216	12805	1159	0
18956	186	13216	9275	0
18957	81	15019	8792	0
18958	98	2200	12753	0
18959	2	3597	96	0
18960	156	1953	35169	0
18961	60	14364	19323	0
18962	189	4998	23188	0
18963	177	3818	2898	0
18964	201	6101	19613	0
18965	210	4431	0	4057
18966	106	12038	18550	0
18967	146	9189	10628	0
18968	9	10193	772	0
18969	65	7483	0	0
18970	166	3703	1739	0
18971	73	39	17391	0
18972	172	5428	4057	0
18973	112	4362	15072	0
18974	53	12386	25507	0
18975	179	1710	6086	0
18976	107	2922	0	20289
18977	44	540	0	2125
18978	90	2331	30144	0
18979	139	10278	9275	0
18980	96	11502	13816	0
18981	106	15479	772	0
18982	144	776	8405	0
18983	11	3697	966	0
18984	91	6758	12560	0
18985	199	13209	12753	0
18986	48	14044	8695	0
18987	36	2753	5797	0
18988	171	4045	0	9661
18989	71	8859	25217	0
18990	133	1179	4251	0
18991	141	3286	0	10144
18992	35	6576	5797	0
18993	127	1353	6763	0
18994	156	14953	9661	0
18995	97	11702	11014	0
18996	41	11269	6376	0
18997	171	8709	18840	0
18998	183	14293	3864	0
18999	143	8315	18840	0
19000	175	11721	5410	0
19001	75	14491	1449	0
19002	155	3175	1545	0
19003	203	11631	17391	0
19004	74	6272	13526	0
19005	80	15155	9275	0
19006	33	4378	14492	0
19007	4	3942	7246	0
19008	195	1656	0	17391
19009	19	9227	1352	0
19010	187	1267	6086	0
19011	115	10737	5507	0
19012	183	8091	7536	0
19013	170	5914	32463	0
19014	166	9769	2608	0
19015	94	2593	3478	0
19016	148	6190	0	23188
19017	12	13948	18937	0
19018	138	3758	3864	0
19019	203	10230	36231	0
19020	85	6986	13043	0
19021	57	14357	0	1062
19022	153	5202	12753	0
19023	120	7696	7246	0
19024	96	10445	10048	0
19025	215	5526	579	0
19026	24	3384	0	9565
19027	188	3580	14492	0
19028	35	3469	25507	0
19029	186	8894	10628	0
19030	111	11037	10821	0
19031	199	10368	4057	0
19032	91	2375	6763	0
19033	106	4658	7826	0
19034	189	3593	13043	0
19035	152	1230	3768	0
19036	197	299	12560	0
19037	186	11396	34782	0
19038	49	7057	1642	0
19039	55	9049	5797	0
19040	214	6733	8792	0
19041	135	12442	0	966
19042	47	15431	0	0
19043	17	4785	27053	0
19044	58	1003	1352	0
19045	15	12240	0	2028
19046	9	4662	31884	0
19047	90	7772	6956	0
19048	137	14793	35169	0
19049	61	2731	19323	0
19050	17	10542	13913	0
19051	145	5058	14009	0
19052	156	8571	0	6956
19053	193	13261	7826	0
19054	4	14818	0	10048
19055	42	8300	6183	0
19056	167	8187	39130	0
19057	181	13994	14009	0
19058	8	9756	10048	0
19059	149	6091	579	0
19060	217	10942	21256	0
19061	166	3603	3864	0
19062	78	11173	16521	0
19063	116	13542	1545	0
19064	42	10362	13526	0
19065	207	11130	7729	0
19066	208	10021	0	9565
19067	21	13015	21256	0
19068	55	7008	0	7729
19069	43	13160	0	0
19070	95	5697	39227	0
19071	188	10614	6183	0
19072	148	3715	1739	0
19073	180	6981	2898	0
19074	41	12740	11594	0
19075	132	12537	4057	0
19076	204	4690	2705	0
19077	79	1175	16231	0
19078	87	11080	3091	0
19079	123	8779	0	1642
19080	94	2373	36231	0
19081	123	9350	18260	0
19082	167	6572	15072	0
19083	215	857	1159	0
19084	174	2417	5024	0
19085	60	10727	8405	0
19086	1	7932	34782	0
19087	105	12218	11497	0
19088	173	867	12753	0
19089	1	7144	1159	0
19090	107	13475	1932	0
19091	99	11638	20289	0
19092	155	4829	0	6086
19093	45	5844	1642	0
19094	12	15319	8115	0
19095	125	12671	40579	0
19096	118	6985	34782	0
19097	120	7502	2608	0
19098	109	4455	28985	0
19099	185	8307	10144	0
19100	3	11479	0	13043
19101	100	5198	1159	0
19102	78	14447	4830	0
19103	54	8933	0	2512
19104	56	10356	0	35169
19105	29	11442	19613	0
19106	79	11661	7246	0
19107	103	9940	24347	0
19108	124	14590	11594	0
19109	193	5430	0	10048
19110	176	12119	25217	0
19111	209	8675	0	23478
19112	6	7759	0	0
19113	177	4361	7729	0
19114	142	12971	8695	0
19115	9	14414	33913	0
19116	173	10817	16231	0
19117	162	10035	29758	0
19118	191	8450	1932	0
19119	79	9225	14879	0
19120	41	10420	13913	0
19121	64	4645	3768	0
19122	146	15341	26086	0
19123	59	11125	5024	0
19124	6	7971	28695	0
19125	61	15163	193	0
19126	70	2713	18357	0
19127	72	13891	2898	0
19128	197	6859	4830	0
19129	160	11221	2318	0
19130	18	14623	14492	0
19131	182	3062	14879	0
19132	121	12969	2512	0
19133	216	12755	36521	0
19134	84	8557	0	20289
19135	122	15431	7729	0
19136	92	13853	30821	0
19137	53	13370	13913	0
19138	68	7013	2705	0
19139	185	9536	6763	0
19140	54	3329	14202	0
19141	14	14822	9565	0
19142	160	15277	20096	0
19143	1	854	0	16231
19144	69	5690	22608	0
19145	77	3397	0	5024
19146	141	5925	4347	0
19147	145	8753	10821	0
19148	44	3232	2318	0
19149	99	3650	2318	0
19150	1	10279	25120	0
19151	169	6483	29758	0
19152	72	6723	0	2125
19153	20	5136	22415	0
19154	175	8610	13043	0
19155	60	11624	1739	0
19156	182	13650	11594	0
19157	102	11599	0	0
19158	61	4632	16231	0
19159	177	1021	20869	0
19160	171	5735	8792	0
19161	164	7079	2125	0
19162	90	13058	4347	0
19163	83	2930	0	20289
19164	137	12621	11594	0
19165	176	3107	14492	0
19166	100	13527	4637	0
19167	31	2677	9468	0
19168	74	4307	2898	0
19169	14	6467	7536	0
19170	78	11055	0	18840
19171	55	3051	2898	0
19172	65	12387	39227	0
19173	186	11416	12753	0
19174	167	8925	1932	0
19175	216	13052	20289	0
19176	154	7671	3478	0
19177	21	14383	2512	0
19178	89	9543	14879	0
19179	113	6847	7729	0
19180	184	15322	15072	0
19181	125	14118	3188	0
19182	28	3952	20289	0
19183	22	12541	0	1352
19184	70	10400	13043	0
19185	10	1581	5797	0
19186	189	9965	11594	0
19187	202	14789	6956	0
19188	81	1572	11111	0
19189	15	386	11304	0
19190	4	13787	2028	0
19191	85	2518	13526	0
19192	88	7393	18550	0
19193	57	1244	20096	0
19194	42	2090	6956	0
19195	71	1077	10628	0
19196	176	6022	1062	0
19197	54	13938	0	6666
19198	182	8721	24154	0
19199	16	12321	1352	0
19200	113	5309	25507	0
19201	40	12022	1159	0
19202	50	2575	0	0
19203	24	2022	14492	0
19204	188	5185	2801	0
19205	136	4772	39130	0
19206	35	14726	35169	0
19207	59	3109	386	0
19208	48	13719	31111	0
19209	146	7195	8115	0
19210	211	3122	25217	0
19211	198	1101	34782	0
19212	69	11671	26666	0
19213	70	6557	6086	0
19214	125	8504	20869	0
19215	163	1318	0	1159
19216	193	10932	12367	0
19217	78	11865	0	31884
19218	181	1	12367	0
19219	197	15375	3188	0
19220	35	2264	5217	0
19221	105	11598	24154	0
19222	142	12240	35169	0
19223	9	10676	0	6086
19224	24	1163	4251	0
19225	200	3340	23864	0
19226	172	4434	21739	0
19227	119	2045	772	0
19228	100	1254	3864	0
19229	163	6137	4347	0
19230	60	5259	10821	0
19231	59	2465	11594	0
19232	12	1096	32657	0
19233	18	3968	2898	0
19234	163	3744	579	0
19235	30	7334	22222	0
19236	173	14688	4830	0
19237	120	8815	21642	0
19238	92	4554	9178	0
19239	156	9626	14879	0
19240	108	150	4347	0
19241	16	9636	1642	0
19242	57	11713	27053	0
19243	163	6014	966	0
19244	179	613	12367	0
19245	116	1240	1739	0
19246	182	26	8695	0
19247	192	126	35169	0
19248	160	4487	0	0
19249	45	9447	12753	0
19250	111	8892	0	14492
19251	189	254	31400	0
19252	216	9450	1642	0
19253	74	62	23478	0
19254	127	8408	10821	0
19255	205	875	15458	0
19256	68	5676	579	0
19257	169	8363	17584	0
19258	113	9112	9661	0
19259	66	6451	4057	0
19260	101	12752	21352	0
19261	134	12252	2318	0
19262	128	6330	33623	0
19263	205	1570	7246	0
19264	197	11034	26086	0
19265	62	9912	4830	0
19266	197	3711	0	5797
19267	183	1133	966	0
19268	4	382	34782	0
19269	215	3541	4444	0
19270	73	15345	9855	0
19271	112	2430	4251	0
19272	61	12844	4734	0
19273	145	13628	9275	0
19274	180	8015	3091	0
19275	85	13143	11594	0
19276	23	15081	1159	0
19277	115	5614	17391	0
19278	193	1946	2125	0
19279	29	11315	0	25217
19280	68	6295	2898	0
19281	125	1958	3768	0
19282	34	8377	14782	0
19283	188	5177	6956	0
19284	96	5105	37681	0
19285	156	3390	1739	0
19286	140	10516	0	7729
19287	186	10655	5797	0
19288	154	13967	23478	0
19289	178	14204	2415	0
19290	53	15336	1062	0
19291	201	13580	3091	0
19292	40	11730	3671	0
19293	67	13225	3478	0
19294	39	5941	0	25700
19295	138	9815	13526	0
19296	36	11142	17391	0
19297	214	2577	5797	0
19298	64	15145	12367	0
19299	95	11341	2608	0
19300	49	15514	3864	0
19301	18	1820	24347	0
19302	185	11660	39130	0
19303	139	11305	20193	0
19304	17	7093	18937	0
19305	206	15370	6763	0
19306	44	12642	10144	0
19307	199	5852	8115	0
19308	35	12769	4057	0
19309	151	10982	19130	0
19310	79	12888	28888	0
19311	123	14900	7826	0
19312	118	6203	9275	0
19313	123	2375	193	0
19314	119	13393	2222	0
19315	171	7597	2318	0
19316	166	307	2318	0
19317	20	5520	6956	0
19318	59	3896	4444	0
19319	15	13985	8405	0
19320	109	2476	5314	0
19321	92	7148	31111	0
19322	102	8652	31884	0
19323	141	9558	35169	0
19324	127	6583	21352	0
19325	71	10108	20869	0
19326	6	8120	0	5024
19327	158	5153	1739	0
19328	39	13776	26086	0
19329	1	13234	0	4057
19330	46	1881	2898	0
19331	29	9148	6956	0
19332	191	15175	13526	0
19333	15	8785	12077	0
19334	108	9843	10821	0
19335	6	5518	31304	0
19336	134	8647	3478	0
19337	117	4308	0	0
19338	26	9483	14685	0
19339	168	14693	16328	0
19340	93	9353	3478	0
19341	177	1149	14685	0
19342	41	8276	3768	0
19343	73	9584	26086	0
19344	182	6046	8115	0
19345	22	3534	8502	0
19346	76	12273	3381	0
19347	183	889	3188	0
19348	29	13161	8502	0
19349	53	5819	193	0
19350	13	9339	6376	0
19351	122	9566	4347	0
19352	59	117	0	4637
19353	160	11077	4057	0
19354	82	2003	0	2028
19355	34	13422	16328	0
19356	5	1280	12077	0
19357	27	2359	24637	0
19358	99	4415	1739	0
19359	145	14796	31884	0
19360	187	6738	12077	0
19361	34	4280	0	27536
19362	76	6323	39227	0
19363	63	8761	5603	0
19364	31	1479	8695	0
19365	168	6478	676	0
19366	59	14252	4637	0
19367	158	7052	1545	0
19368	115	11829	13333	0
19369	167	9190	31884	0
19370	42	14436	6956	0
19371	127	5649	6086	0
19372	16	10037	33913	0
19373	193	14560	17584	0
19374	163	13672	0	7536
19375	163	7238	21256	0
19376	51	10196	6376	0
19377	204	11283	18937	0
19378	122	10748	11304	0
19379	192	12	6956	0
19380	130	4684	33816	0
19381	206	446	1062	0
19382	162	9437	4830	0
19383	51	14231	20869	0
19384	110	11207	0	9565
19385	50	1842	2705	0
19386	37	3561	869	0
19387	111	13968	0	23478
19388	54	8007	15458	0
19389	160	4693	4347	0
19390	18	15085	19613	0
19391	39	5106	8792	0
19392	190	131	0	0
19393	212	6561	676	0
19394	43	3641	8115	0
19395	125	15534	18260	0
19396	165	15466	1545	0
19397	18	5329	772	0
19398	133	9222	20289	0
19399	75	13476	676	0
19400	210	5827	37874	0
19401	49	2501	0	14879
19402	8	12313	6763	0
19403	133	15424	15072	0
19404	193	5436	8115	0
19405	204	12363	14879	0
19406	201	14888	17391	0
19407	159	5880	21352	0
19408	24	7346	13526	0
19409	102	1206	4057	0
19410	88	1105	30434	0
19411	199	12538	5797	0
19412	10	7058	5410	0
19413	65	14113	21256	0
19414	141	3669	28405	0
19415	40	3265	18260	0
19416	95	8565	11304	0
19417	209	13381	96	0
19418	144	15327	4057	0
19419	140	5798	19710	0
19420	63	1599	18840	0
19421	136	14613	386	0
19422	201	4760	3864	0
19423	158	888	26376	0
19424	133	12365	0	18260
19425	38	9965	1545	0
19426	182	7240	10628	0
19427	166	13447	869	0
19428	22	10792	1352	0
19429	18	1984	4637	0
19430	98	10353	34782	0
19431	214	4727	5314	0
19432	55	3179	2608	0
19433	102	13357	20869	0
19434	87	1453	0	25217
19435	151	11643	2415	0
19436	58	13172	24347	0
19437	70	565	2512	0
19438	107	13358	11594	0
19439	135	3613	23188	0
19440	148	6403	3478	0
19441	110	5199	0	1352
19442	71	5951	23864	0
19443	191	2080	11594	0
19444	121	4249	5797	0
19445	73	13011	0	3864
19446	82	13515	20289	0
19447	103	11525	2415	0
19448	63	4962	13526	0
19449	69	5999	1835	0
19450	69	4541	1352	0
19451	137	1227	29758	0
19452	90	342	676	0
19453	184	374	0	3091
19454	131	9465	5797	0
19455	29	1075	39130	0
19456	72	13948	23864	0
19457	159	4200	1739	0
19458	29	2576	16231	0
19459	45	3096	34782	0
19460	55	13335	579	0
19461	208	4522	15072	0
19462	117	1751	22608	0
19463	203	15202	6763	0
19464	135	5684	21739	0
19465	155	227	1062	0
19466	215	1730	4637	0
19467	194	14460	18937	0
19468	71	11059	6763	0
19469	171	8111	25507	0
19470	94	7180	17391	0
19471	100	12511	12560	0
19472	160	6538	13913	0
19473	81	15133	14492	0
19474	146	6705	8115	0
19475	47	7966	11594	0
19476	168	5846	4057	0
19477	109	13710	18840	0
19478	92	11325	19710	0
19479	212	12547	23381	0
19480	159	14306	11304	0
19481	109	3399	15072	0
19482	19	13572	1449	0
19483	168	11254	3768	0
19484	212	8551	6956	0
19485	17	3046	8115	0
19486	75	15510	8115	0
19487	217	9790	26376	0
19488	70	8611	0	5797
19489	61	14536	28985	0
19490	216	15452	15458	0
19491	16	1843	2705	0
19492	33	12153	289	0
19493	175	14462	7246	0
19494	61	13335	35169	0
19495	195	1666	37681	0
19496	98	7270	2608	0
19497	121	5827	13913	0
19498	62	7869	17584	0
19499	185	10175	0	27536
19500	64	12912	9275	0
19501	128	12303	676	0
19502	48	2937	0	11304
19503	217	5933	5024	0
19504	39	4074	9565	0
19505	118	10572	5410	0
19506	161	12808	8792	0
19507	186	3292	0	1545
19508	133	1390	42028	0
19509	12	7232	772	0
19510	74	10681	2608	0
19511	120	13236	2318	0
19512	197	10910	10821	0
19513	28	13873	11014	0
19514	211	914	12560	0
19515	78	7781	483	0
19516	88	15380	193	0
19517	57	2595	3864	0
19518	207	3709	27536	0
19519	141	2124	6956	0
19520	28	8483	3285	0
19521	22	13504	4637	0
19522	85	3685	8695	0
19523	40	7672	1256	0
19524	208	11941	2415	0
19525	15	5836	17777	0
19526	112	2979	11111	0
19527	54	1089	28695	0
19528	143	9273	9661	0
19529	20	3859	6956	0
19530	124	3831	36521	0
19531	98	8175	37681	0
19532	138	14617	40579	0
19533	84	6264	17004	0
19534	69	7589	9468	0
19535	52	8877	16811	0
19536	93	11216	12753	0
19537	211	6435	28405	0
19538	6	7270	4830	0
19539	202	9553	8792	0
19540	25	401	37681	0
19541	161	14927	6086	0
19542	164	10532	5410	0
19543	210	2058	11594	0
19544	203	5378	0	3768
19545	214	1298	18260	0
19546	35	11288	2415	0
19547	136	8303	9661	0
19548	17	15543	5410	0
19549	26	13931	1159	0
19550	201	11165	3091	0
19551	130	12800	37681	0
19552	89	2851	17777	0
19553	60	1842	23381	0
19554	157	10495	16811	0
19555	203	6968	1352	0
19556	13	12653	1449	0
19557	185	2063	22222	0
19558	202	471	8792	0
19559	35	7054	13526	0
19560	133	8998	24444	0
19561	51	12881	26086	0
19562	208	13753	0	1932
19563	94	8843	18840	0
19564	118	14301	2512	0
19565	43	14257	24154	0
19566	18	5985	28405	0
19567	149	2258	20289	0
19568	172	5445	12850	0
19569	150	8148	7729	0
19570	55	12556	2318	0
19571	86	11598	1932	0
19572	167	10704	14492	0
19573	68	5639	16231	0
19574	153	9289	0	12753
19575	162	9416	7246	0
19576	183	6770	22415	0
19577	201	9526	4251	0
19578	74	3810	16521	0
19579	48	6404	3864	0
19580	38	7658	27536	0
19581	159	11502	36231	0
19582	91	13133	20289	0
19583	110	12272	1449	0
19584	163	9249	28985	0
19585	119	13208	28405	0
19586	95	3255	5410	0
19587	146	4037	18550	0
19588	122	9491	7826	0
19589	144	1791	43478	0
19590	135	2408	2318	0
19591	88	215	0	6183
19592	116	10940	8502	0
19593	59	11745	3864	0
19594	127	7587	0	0
19595	195	6366	1062	0
19596	29	5579	5797	0
19597	59	2000	7246	0
19598	214	15270	6086	0
19599	188	4485	8115	0
19600	65	3751	1159	0
19601	170	4468	1449	0
19602	155	12831	27632	0
19603	184	13920	23864	0
19604	149	4990	0	20193
19605	160	132	26570	0
19606	81	6331	25120	0
19607	54	15300	6956	0
19608	3	1765	4637	0
19609	114	2119	14009	0
19610	101	15044	3478	0
19611	108	13510	20000	0
19612	16	2202	2705	0
19613	23	12613	966	0
19614	205	10205	2608	0
19615	216	14282	8115	0
19616	203	11441	16521	0
19617	143	2028	18550	0
19618	94	10195	6763	0
19619	11	5471	2318	0
19620	161	205	24347	0
19621	154	12252	19613	0
19622	26	15301	18260	0
19623	56	807	9275	0
19624	204	5039	5797	0
19625	2	2871	19710	0
19626	52	6933	0	7536
19627	104	11823	0	5410
19628	134	14411	12173	0
19629	70	4656	1159	0
19630	23	14989	3091	0
19631	175	275	9275	0
19632	188	7377	2318	0
19633	215	11202	0	25700
19634	175	6300	14492	0
19635	215	7930	6183	0
19636	106	10838	2512	0
